beta,n_reps,mean_tau_hat,se_tau_hat,mean_abs_bias,se_abs_bias,mean_g0_gap,se_g0_gap,mean_x_gap,se_x_gap,mean_tau_hat_NN,mean_abs_bias_NN,mean_g0_gap_NN,mean_x_gap_NN,mean_distance_to_NN,se_distance_to_NN,n,n_mcmc,mu,seed
0,5,1.0332517910974097,0.03595059876891597,0.06262354741156251,0.024257757151846762,0.019874061493986385,0.002197240228714016,0.2895403218558963,0.028379864224932237,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.09062274725994746,0.02193506091269107,300,1000,0.3,12345
0.25,5,1.0337745180761095,0.03415562801752922,0.05987474083800866,0.023569902322358373,0.01963735993055602,0.0021698059641567413,0.28446485214510775,0.028400440621032287,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.09150878154451283,0.02201119484745968,300,1000,0.3,12345
0.5,5,1.0357502026850718,0.0347413181782277,0.06273608541943032,0.023292151753933527,0.019245592957402205,0.002016878811887164,0.27583346117174756,0.026281684103509607,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.09185475479030802,0.023137777030075232,300,1000,0.3,12345
1,5,1.0350362279495164,0.03472297705201723,0.06110941550397766,0.024061988421119476,0.0186364597378438,0.0019216215501929952,0.2621509243963828,0.025213580822331525,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.09322677599886456,0.022669680184664476,300,1000,0.3,12345
2,5,1.0339158862920763,0.034273402420608855,0.06306389433535727,0.021632712660320335,0.016952456404993974,0.0016526916058909344,0.22952779858311065,0.022068601388890424,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.0958098233982962,0.02549509469124667,300,1000,0.3,12345
3,5,1.0299862664391135,0.03383965399424224,0.06293213727119835,0.01948852869790771,0.015179138045615196,0.001463903739951371,0.19794690725535058,0.019798621344428995,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.09468781003455431,0.029544008104454372,300,1000,0.3,12345
4,5,1.0281896269319966,0.03424450707735388,0.06507688865533034,0.017680488464622775,0.01316718293634192,0.0013061680236613863,0.16553414758688711,0.017965947129130466,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.08802360202220874,0.0321692206824453,300,1000,0.3,12345
5,5,1.0242319820325143,0.03317027063071717,0.06438360015281555,0.014517303463854216,0.011372249721161846,0.0012024521628777002,0.13908982774755368,0.01674971551937835,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.07875611112140372,0.03536229464205365,300,1000,0.3,12345
8,5,1.0187648230861184,0.03345622401996673,0.059927765659033905,0.01759301843961145,0.007870671611332673,0.0009526882832852647,0.08989945545374978,0.012801868581117941,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.07083390861273649,0.02650844444226822,300,1000,0.3,12345
10,5,1.015495357757727,0.03586956602942356,0.058185627608584166,0.022366503528668886,0.00667691757443401,0.0008909717284054656,0.07424227587122337,0.011715738093725196,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.06503834335504713,0.023308447159113798,300,1000,0.3,12345
15,5,1.0103694053889698,0.04059039455041376,0.06956521038801453,0.02155531599643754,0.005484917779525341,0.0008619086964058747,0.05854878137835767,0.01156264897820083,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.04646078303876633,0.01847615166853602,300,1000,0.3,12345
20,5,1.0122896532534877,0.04395692777021614,0.08334530409001432,0.01527614037656437,0.005199249255945997,0.0008804933812770443,0.05465015376648093,0.012245986298802743,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.032475533130306086,0.01202216116450364,300,1000,0.3,12345
30,5,1.0123613920530516,0.050879766353977326,0.10034619934585935,0.010469560488287009,0.005084759429384624,0.0009300805305046246,0.053282483230303844,0.013273138747143922,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.020008217435087693,0.006199438435646918,300,1000,0.3,12345
50,5,1.0167661517219602,0.0569306485226074,0.1133521200017887,0.0099598657054516,0.005181823918748155,0.0009857380547763346,0.054448636449427414,0.014162545005545217,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.01631978692736924,0.004918044344149695,300,1000,0.3,12345
75,5,1.0192542441696135,0.0593021328149992,0.11854989770726895,0.009793103412228216,0.005322722732823181,0.001046010566336389,0.056124718839494256,0.014961095630371431,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.0169620274876948,0.006377989747173136,300,1000,0.3,12345
100,5,1.0220382927522507,0.05968736448189255,0.11969562368190342,0.010111502534381504,0.00535736703680643,0.0010808206339946677,0.056570352765403044,0.015419840103522901,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.017709810411593828,0.005389640252948226,300,1000,0.3,12345
150,5,1.023760194731313,0.05773049096170782,0.11600646489333363,0.010467632293658696,0.005389061881691561,0.0010968331249221288,0.05715106484616134,0.015615549022564783,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.014287395621419962,0.004170713359391259,300,1000,0.3,12345
200,5,1.0252510142417495,0.056469391558545676,0.11356858469324478,0.011123837276090107,0.005391605911482209,0.0010931852723393672,0.05739608133636611,0.015608232098771282,1.027280338526736,0.1019858132703096,0.005455418392763154,0.0587421359560145,0.013059125925354053,0.0027041295237183655,300,1000,0.3,12345
