beta,n_reps,mean_tau_hat,se_tau_hat,mean_abs_bias,se_abs_bias,mean_g0_gap,se_g0_gap,mean_x_gap,se_x_gap,mean_tau_hat_NN,mean_abs_bias_NN,mean_g0_gap_NN,mean_x_gap_NN,mean_distance_to_NN,se_distance_to_NN,n,n_mcmc,mu,seed
0,100,1.014322630883319,0.012282430196157972,0.09568524828166584,0.007774876709874788,0.021111132020802684,0.0004697271717328662,0.3060207161104731,0.006106068155690077,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.09618248148525774,0.007398994322340123,300,1000,0.3,12345
0.25,100,1.0138551175717676,0.012301924120363732,0.09610586546516992,0.007744677726321643,0.02076858573999449,0.0004632304841588236,0.2985977265968736,0.006016176784743145,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.09636204679718796,0.007354413694868197,300,1000,0.3,12345
0.5,100,1.0139903760756586,0.012371789385850443,0.09638218104171628,0.007823341072775419,0.020435293483586147,0.00045446550980277934,0.2913072609172591,0.005879017807889552,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.09586491985085384,0.007373799398646458,300,1000,0.3,12345
1,100,1.0129023544373985,0.012404917796582766,0.09691427119842493,0.007790444390641455,0.019715347684511057,0.00044018394043831655,0.27622191404175056,0.005662900253103714,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.09485602765519723,0.007371259846757815,300,1000,0.3,12345
2,100,1.0114740643932518,0.012526518307464294,0.09838359751335574,0.007776404562369896,0.01811743423441628,0.0004075242226863796,0.24483345316304697,0.00517186979072768,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.09357630615146861,0.007338511277627528,300,1000,0.3,12345
3,100,1.010899295578216,0.012635956176565955,0.09934955327946747,0.007820933040248498,0.01626833290721332,0.0003776125982832675,0.21173247711450988,0.004707880391390412,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.090532272365876,0.007280674540463754,300,1000,0.3,12345
4,100,1.009381609749575,0.012829690705539945,0.10127061511596896,0.007867445076991681,0.014341150060033407,0.00034639663769164104,0.17976972366110658,0.00418080450305033,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.08607760610344346,0.006815683449558308,300,1000,0.3,12345
5,100,1.0073026495532373,0.012958566365386873,0.10228755435183177,0.007923309619669715,0.012552401704034552,0.0003181177348942037,0.15195949983253393,0.003718717213824502,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.08142151287751273,0.006306389034417481,300,1000,0.3,12345
8,100,1.0031643761784965,0.013645179356933875,0.10557320619951342,0.00858540719751118,0.008771762059405136,0.00025552952016559755,0.09807761778617773,0.002721754441190133,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.0642698533366788,0.005005806368795978,300,1000,0.3,12345
10,100,1.002237374463881,0.014050370802141396,0.10775854001683842,0.008953855862603787,0.007433333205940089,0.00023428272325751268,0.08036791478735132,0.0024144464621419595,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.054773723050008466,0.004437489206678616,300,1000,0.3,12345
15,100,0.9995437417802538,0.014729745439052314,0.11351085553106163,0.009317664616904614,0.005975138192521556,0.00020980133339401267,0.06197642535008756,0.002130507214879677,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.04218144017955452,0.003512254012547121,300,1000,0.3,12345
20,100,0.9989760049886439,0.01527668879291443,0.11787892940083639,0.009645196321619729,0.005483403573998213,0.00020227795500039964,0.056019827591979855,0.0020948995207063555,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.0350582147421875,0.0029646131330930336,300,1000,0.3,12345
30,100,0.9977308129388041,0.015910004711668053,0.12299219340201979,0.010019055740242998,0.0051725743231890615,0.00019991877793756906,0.05241275849898692,0.002127006418381037,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.028272035528484327,0.0023456137435916664,300,1000,0.3,12345
50,100,0.997126982358584,0.01643460210471336,0.12709483939238303,0.010344897985093362,0.0050315713051207744,0.00020124941548896276,0.05086749725213011,0.002192564846510657,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.02309761997992643,0.00177329120792349,300,1000,0.3,12345
75,100,0.9965467380627551,0.016637076080552145,0.12841986405829198,0.010503823875024045,0.004980689480262393,0.00020309629796826868,0.050347429650522274,0.002234368339966603,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.0190378737893746,0.0013747120836068408,300,1000,0.3,12345
100,100,0.9967543302328132,0.016760114301313474,0.12910958801479355,0.010612785486661816,0.004963909179542946,0.00020470862343744577,0.050232937358522925,0.0022626372384088192,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.016513797608388354,0.0011382517326703162,300,1000,0.3,12345
150,100,0.9970861080007531,0.016847657453919678,0.12989550906507819,0.010653476739887171,0.00495202951824831,0.00020523327400245924,0.05014108080872951,0.0022744872667847635,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.01329970243032844,0.0008881629984383727,300,1000,0.3,12345
200,100,0.9973379606143108,0.01688620807118065,0.13016883307457408,0.010680114453379878,0.004944914620966685,0.00020498328756097286,0.05010595900849723,0.002274283604297289,0.9999791547191994,0.1306030768705052,0.0049676490095491325,0.05029570102975467,0.011360804128017606,0.000781449573787827,300,1000,0.3,12345
