beta,N,n_reps,n_mcmc,k,mu,recipient_frac,mean_tau,bias,abs_bias,sd_tau,mc_se_bias,mean_x_gap
1,100,300,300,2,0.1,0.3,1.042660171686958,0.042660171686957904,0.042660171686957904,0.23622897077030958,0.013638685986462645,0.092691607717553
1,200,300,300,2,0.1,0.3,1.0500776039837896,0.050077603983789576,0.050077603983789576,0.16446330409464924,0.0094952932890861,0.08536993286636217
1,300,250,300,2,0.1,0.3,1.0572797069045383,0.05727970690453832,0.05727970690453832,0.1323448578538547,0.008370223748588087,0.0906633646799261
1,500,200,300,2,0.1,0.3,1.0448242468857312,0.04482424688573117,0.04482424688573117,0.08925582192162562,0.006311339694116038,0.08765441331384707
1,750,150,300,2,0.1,0.3,1.062930671942958,0.0629306719429581,0.0629306719429581,0.08276812028230435,0.0067579887220316276,0.08965209395470457
1,1000,120,300,2,0.1,0.3,1.0534492168652334,0.05344921686523341,0.05344921686523341,0.07288946939026769,0.006653867764938657,0.08933588456705141
1,1500,80,300,2,0.1,0.3,1.0555444951594937,0.05554449515949367,0.05554449515949367,0.05876035034552383,0.006569606887714727,0.09101945604205644
1,2000,60,300,2,0.1,0.3,1.0599538602848946,0.05995386028489458,0.05995386028489458,0.053317478259040214,0.006883256845301292,0.08786992944399395
1,3000,40,300,2,0.1,0.3,1.0476706080973384,0.04767060809733836,0.04767060809733836,0.045154860499707475,0.007139610330312226,0.08423487780324382
1,5000,20,300,2,0.1,0.3,1.0622523670839141,0.06225236708391413,0.06225236708391413,0.024934218957570725,0.005575460855499208,0.09136708989086598
1,7500,10,300,2,0.1,0.3,1.0493358391150878,0.049335839115087765,0.049335839115087765,0.030583115755148386,0.009671230373084932,0.08642449891124102
1,10000,10,300,2,0.1,0.3,1.0576334014037903,0.05763340140379025,0.05763340140379025,0.024468462944110897,0.00773760737468197,0.08274838834098436
