beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,pstar,result_file,sim,ul,wiVar,wiVarpaired
1.0,0.024978537051989158,1,datasets_sb01.npz,0.8763279910864594,0.8821930607230604,0.8763279910864555,0.30161096758183126,unconstrained_1to1,0.08597971082518203,0.08549179376037187,1000,0.5,results\unconstrained_1to1_beta1_1.csv,1,1.4510450145910876,0.06097619523614089,0.06048827817133073
1.0,0.03572125894069785,1,datasets_sb01.npz,1.0610970613474937,1.0677250389417452,1.0610970613474948,0.3818824983433252,unconstrained_1to1,0.12008861479512276,0.11783865207811497,1000,0.5,results\unconstrained_1to1_beta1_1.csv,2,1.740311624351662,0.0843316345954842,0.08208167187847644
1.0,0.032033914893850546,1,datasets_sb01.npz,1.4345316897936968,1.437987842748503,1.4345316897936922,0.818588385506077,unconstrained_1to1,0.09875732874238635,0.09735877230637804,1000,0.5,results\unconstrained_1to1_beta1_1.csv,3,2.0504749940813167,0.06669137993364196,0.06529282349763366
1.0,0.03549622595759136,1,datasets_sb01.npz,0.9960357122502669,1.0025960357626083,0.9960357122502617,0.3622999586564175,unconstrained_1to1,0.10454524296729595,0.10458549111044968,1000,0.5,results\unconstrained_1to1_beta1_1.csv,4,1.6297714658441163,0.06901352078374699,0.06905376892690072
1.0,0.02844973240419607,1,datasets_sb01.npz,0.9994260380478219,1.0038393447182579,0.9994260380478172,0.42965480054251115,unconstrained_1to1,0.08450626381932873,0.08421994462335194,1000,0.5,results\unconstrained_1to1_beta1_1.csv,5,1.5691972755531327,0.056028081682728464,0.05574176248675169
1.0,0.040042030111108344,1,datasets_sb01.npz,0.9564137361176697,0.9596048927782576,0.9564137361176666,0.2855649169487052,unconstrained_1to1,0.11714861989285555,0.11658074243687216,1000,0.5,results\unconstrained_1to1_beta1_1.csv,6,1.627262555286634,0.0770665477516361,0.07649867029565272
1.0,0.03450662095995787,1,datasets_sb01.npz,1.351938882415494,1.356238219845464,1.3519388824154934,0.6816996913644409,unconstrained_1to1,0.1169358010258148,0.11416054082066651,1000,0.5,results\unconstrained_1to1_beta1_1.csv,7,2.0221780734665473,0.08239467344489697,0.0796194132397487
1.0,0.023796897289131865,1,datasets_sb01.npz,0.9673132584167476,0.9639614561265185,0.967313258416743,0.36146353719844726,unconstrained_1to1,0.09554713783327061,0.09575420256531131,1000,0.5,results\unconstrained_1to1_beta1_1.csv,8,1.5731629796350481,0.07172644364684962,0.07193350837889032
1.0,0.037890942080564455,1,datasets_sb01.npz,1.2146676173353292,1.221038604069009,1.2146676173353277,0.542904997519953,unconstrained_1to1,0.11746798661526905,0.11777221916092692,1000,0.5,results\unconstrained_1to1_beta1_1.csv,9,1.8864302371507056,0.07953915359262405,0.07984338613828192
1.0,0.040589464054186224,1,datasets_sb01.npz,1.266132210041716,1.2698177101533499,1.2661322100417152,0.6147580351119396,unconstrained_1to1,0.11044572984315053,0.10975916030171931,1000,0.5,results\unconstrained_1to1_beta1_1.csv,10,1.9175063849714924,0.06981567632491012,0.0691291067834789
1.0,0.040443944349464085,1,datasets_sb01.npz,1.117785578901871,1.120708149076619,1.1177855789018671,0.46210169259523326,unconstrained_1to1,0.11191205715383584,0.111912842274482,1000,0.5,results\unconstrained_1to1_beta1_1.csv,11,1.7734694652085086,0.07142766886002229,0.07142845398066845
1.0,0.032240347778789764,1,datasets_sb01.npz,1.1165681603893427,1.121537186884944,1.116568160389344,0.509407377820404,unconstrained_1to1,0.09596111409041183,0.09498616676509647,1000,0.5,results\unconstrained_1to1_beta1_1.csv,12,1.7237289429582814,0.06368852596384328,0.06271357863852792
1.0,0.03561488650591525,1,datasets_sb01.npz,1.112674464502469,1.1162213947513888,1.1126744645024609,0.4499107627311837,unconstrained_1to1,0.11434186911328026,0.11399923919279584,1000,0.5,results\unconstrained_1to1_beta1_1.csv,13,1.7754381662737546,0.07869136772085909,0.07834873780037467
1.0,0.03147038976660721,1,datasets_sb01.npz,0.7249776109911058,0.7234090157059427,0.7249776109911018,0.08774405370789451,unconstrained_1to1,0.1057024694210266,0.10491402415479756,1000,0.5,results\unconstrained_1to1_beta1_1.csv,14,1.362211168274317,0.07420060926465277,0.07341216399842374
1.0,0.028506095162199274,1,datasets_sb01.npz,1.339467644322466,1.3317886442075744,1.339467644322462,0.7268402869752055,unconstrained_1to1,0.09769686562117035,0.09742213783980495,1000,0.5,results\unconstrained_1to1_beta1_1.csv,15,1.9520950016697265,0.06916226436380887,0.06888753658244348
1.0,0.03532628716126943,1,datasets_sb01.npz,0.8768550619698183,0.8813468370818116,0.8768550619698136,0.2360061331364952,unconstrained_1to1,0.10690528675208705,0.10625145030810788,1000,0.5,results\unconstrained_1to1_beta1_1.csv,16,1.5177039908031413,0.07154367330365635,0.07088983685967719
1.0,0.02729809866186295,1,datasets_sb01.npz,1.053958118111853,1.0502473210920162,1.0539581181118505,0.44016663012773616,unconstrained_1to1,0.09806851070433054,0.09682219952400582,1000,0.5,results\unconstrained_1to1_beta1_1.csv,17,1.6677496060959696,0.07074311394380572,0.06949680276348101
1.0,0.033435166973487196,1,datasets_sb01.npz,1.3201443402968533,1.3184471259906863,1.320144340296855,0.6724600696499181,unconstrained_1to1,0.10919796814958674,0.10769188287052153,1000,0.5,results\unconstrained_1to1_beta1_1.csv,18,1.9678286109437886,0.07572936600912607,0.07422328073006085
1.0,0.027129325518769367,1,datasets_sb01.npz,1.3643283370479522,1.3639718131547274,1.364328337047953,0.7883352094450815,unconstrained_1to1,0.08636195414559997,0.08599854898299926,1000,0.5,results\unconstrained_1to1_beta1_1.csv,19,1.940321464650823,0.05920549930131183,0.058842094138711123
1.0,0.02740075813612146,1,datasets_sb01.npz,1.0901101175517265,1.0944352007857283,1.0901101175517265,0.49992341325657885,unconstrained_1to1,0.09067064398343608,0.09087270719729254,1000,0.5,results\unconstrained_1to1_beta1_1.csv,20,1.6802968218468741,0.0632424850891785,0.06344454830303496
1.0,0.03293709578225855,1,datasets_sb01.npz,1.4990415689280359,1.498193443416504,1.4990415689280356,0.8260462348941111,unconstrained_1to1,0.11789950011230581,0.11638838739097028,1000,0.5,results\unconstrained_1to1_beta1_1.csv,21,2.1720369029619606,0.084929467234265,0.08341835451292948
1.0,0.028829361902978277,1,datasets_sb01.npz,1.2581402767841028,1.2574288663000135,1.2581402767841028,0.6354122963484694,unconstrained_1to1,0.10094495460678948,0.10100764863244774,1000,0.5,results\unconstrained_1to1_beta1_1.csv,22,1.8808682572197362,0.07208676334190824,0.07214945736756649
1.0,0.034886332716404074,1,datasets_sb01.npz,0.8185130754521254,0.8085620818032299,0.8185130754521227,0.14810383808284666,unconstrained_1to1,0.11699514409362193,0.11564949419627149,1000,0.5,results\unconstrained_1to1_beta1_1.csv,23,1.488922312821404,0.08207392504450145,0.08072827514715102
1.0,0.02815434573093795,1,datasets_sb01.npz,0.7960355253247753,0.794526305284017,0.796035525324773,0.21422768998411723,unconstrained_1to1,0.08811442036229236,0.08793153699922564,1000,0.5,results\unconstrained_1to1_beta1_1.csv,24,1.3778433606654334,0.05993192028562348,0.05974903692255675
1.0,0.035754642985412394,1,datasets_sb01.npz,1.3019801464104481,1.2987151951410887,1.3019801464104486,0.6265737011861042,unconstrained_1to1,0.11874580025265113,0.1184163848882065,1000,0.5,results\unconstrained_1to1_beta1_1.csv,25,1.977386591634792,0.08295540262425334,0.08262598725980869
1.0,0.03444468715797187,1,datasets_sb01.npz,0.9553080543955899,0.9615331789600845,0.9553080543955862,0.3131239476095766,unconstrained_1to1,0.10735121486061788,0.10672457544615391,1000,0.5,results\unconstrained_1to1_beta1_1.csv,26,1.597492161181603,0.07287208301548805,0.07224544360102407
1.0,0.034183662293200134,1,datasets_sb01.npz,0.9837802763250456,0.993332872052796,0.9837802763250398,0.3228860210234803,unconstrained_1to1,0.113697734457156,0.11297549891241376,1000,0.5,results\unconstrained_1to1_beta1_1.csv,27,1.644674531626611,0.07947988850166267,0.07875765295692043
1.0,0.03294662667394273,1,datasets_sb01.npz,0.994878564561175,0.9902578782311169,0.9948785645611724,0.40908824563325374,unconstrained_1to1,0.08932483802313507,0.08852761706518228,1000,0.5,results\unconstrained_1to1_beta1_1.csv,28,1.5806688834890963,0.056345264722518405,0.05554804376456562
1.0,0.03451319425825002,1,datasets_sb01.npz,0.7849339573559678,0.7863082472597397,0.7849339573559683,0.11904065496821681,unconstrained_1to1,0.11542427378302395,0.11498368025044953,1000,0.5,results\unconstrained_1to1_beta1_1.csv,29,1.4508272597437188,0.08087656633051568,0.08043597279794125
1.0,0.03122829758055968,1,datasets_sb01.npz,0.9833588382383037,0.9844464753210451,0.9833588382383049,0.35494770924821417,unconstrained_1to1,0.10279585251941874,0.10158036387275123,1000,0.5,results\unconstrained_1to1_beta1_1.csv,30,1.6117699672283932,0.0715363266412785,0.07032083799461099
1.0,0.05086952294140957,1,datasets_sb01.npz,0.475737042598016,0.47953158405296953,0.47573704259801436,-0.2822382359366294,unconstrained_1to1,0.1495539678440424,0.14895975965877464,1000,0.5,results\unconstrained_1to1_beta1_1.csv,31,1.2337123211326615,0.09863357537969142,0.09803936719442367
1.0,0.03089134416711442,1,datasets_sb01.npz,1.0892807528284516,1.0796138084107754,1.089280752828452,0.47307314168669823,unconstrained_1to1,0.09884210225661869,0.09847749042075682,1000,0.5,results\unconstrained_1to1_beta1_1.csv,32,1.705488363970205,0.06791986674533716,0.06755525490947528
1.0,0.030918908457765574,1,datasets_sb01.npz,0.7775414446370907,0.7769274465563059,0.7775414446370903,0.18441608306878854,unconstrained_1to1,0.09157582635764505,0.09116499595618771,1000,0.5,results\unconstrained_1to1_beta1_1.csv,33,1.370666806205393,0.06062599899142171,0.06021516858996438
1.0,0.03256630263822752,1,datasets_sb01.npz,0.8016525417557089,0.8007185246497421,0.8016525417557085,0.14530180506908474,unconstrained_1to1,0.11213980881639793,0.11090663061646402,1000,0.5,results\unconstrained_1to1_beta1_1.csv,34,1.458003278442333,0.07954093987553218,0.07830776167559828
1.0,0.030711549844165513,1,datasets_sb01.npz,0.6894884500340349,0.6875915504205934,0.6894884500340358,0.06772565045149315,unconstrained_1to1,0.1006322831488755,0.10045176853546176,1000,0.5,results\unconstrained_1to1_beta1_1.csv,35,1.3112512496165767,0.06989002175486582,0.06970950714145208
1.0,0.02746162452422591,1,datasets_sb01.npz,0.7106640041088328,0.7110981278481503,0.7106640041088321,0.12937079884768177,unconstrained_1to1,0.08795860851800884,0.08810609489040341,1000,0.5,results\unconstrained_1to1_beta1_1.csv,36,1.2919572093699838,0.060469522369258705,0.06061700874165329
