beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,k,ll,method,miVar,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarpaired
1.0,0.012010662098659714,1,datasets_sb01.npz,0.8793820488529527,0.8767163760093157,0.87938204885295,2,0.4176934807261654,unconstrained_1tok_mc,0.05548634265383254,0.05953290483967051,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.12248562125118809,0.9996137161790526,0.9998892441930094,0.8774670462512458,0.8771280949278646,1,2.19999928958714e-05,0.13216189955710433,0.9464206002012361,1.0785824997583404,1.079733300022781,1.07899929973064,3.15473533400412e-05,0.00035879999632015824,1.7499987734481692e-05,0.00010099998326040804,1.0798529000021517,3.5999983083456755e-05,1.34107061697974,0.04346366989307417,0.04751023207891214
1.0,0.016888318758696525,1,datasets_sb01.npz,1.060293440927755,1.0650780025293711,1.0602934409277573,2,0.5189285392419115,unconstrained_1tok_mc,0.07629007621233935,0.08267203620622496,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.10521280084755115,0.9996940908310166,0.9999374513461718,0.8947550037431042,0.8944812899834654,2,1.09999964479357e-05,0.10909610014641657,0.9274957001907751,1.0365918003371917,1.0375269000069238,1.0369090003077872,3.0916523339692505e-05,0.0002781999937724322,1.170000177808106e-05,5.2499992307275534e-05,1.0375917999772355,2.7999980375170708e-05,1.6016583426135984,0.059384869134884125,0.06576682912876973
1.0,0.015758014180855213,1,datasets_sb01.npz,1.4357935339972123,1.4375905261948179,1.435793533997209,2,0.935736909064914,unconstrained_1tok_mc,0.0650917919977825,0.06529235824352222,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09697771286848227,0.9996748314710036,0.999927136070873,0.9029907427740466,0.9026971186025213,3,1.0899995686486363e-05,0.09749409975484014,0.9075037998554762,1.0049978996103164,1.0059114999894518,1.0053247995965648,3.025012666184921e-05,0.00028559999191202223,1.379998866468668e-05,5.8600009651854634e-05,1.0059847999946214,3.0399998649954796e-05,1.9358501589295107,0.04931801980274644,0.049518586048486156
1.0,0.01723579651267871,1,datasets_sb01.npz,0.9960810411677685,0.9985648612587585,0.9960810411677646,2,0.47810345384530695,unconstrained_1tok_mc,0.06984089467107413,0.06840748481919998,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08840588731222788,0.9996716679576881,0.9999279646968896,0.9115650766687831,0.9112657806454603,4,1.0899995686486363e-05,0.08928579991334118,0.9203356997168157,1.009621499630157,1.0105424000066705,1.0099530995939858,3.067785665722719e-05,0.00028219999512657523,1.300001167692244e-05,5.879998207092285e-05,1.010615199978929,3.849997301585972e-05,1.51405862849023,0.052587862361882745,0.05115445251000859
1.0,0.014078641945073394,1,datasets_sb01.npz,0.9925497596868642,0.9920377840744219,0.992549759686859,2,0.5251557936481934,unconstrained_1tok_mc,0.05686618062509325,0.05459914060933048,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08427251598986076,0.999658337589262,0.9999178217401105,0.9156986814184043,0.9153858215994013,5,1.1500000255182385e-05,0.08669899980304763,0.941742799943313,1.0284417997463606,1.0293848000001162,1.0287932997453026,3.13914266647771e-05,0.0003090999962296337,1.1099997209385037e-05,7.270000060088933e-05,1.029469400004018,3.090000245720148e-05,1.459943725725535,0.042773460038074786,0.040506420022312015
1.0,0.019734103103563903,1,datasets_sb01.npz,0.955301475647225,0.9535514653242523,0.9553014756472232,2,0.40734063699938017,unconstrained_1tok_mc,0.07816042292056681,0.07523600218383822,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09023653436383673,0.9996585675791577,0.9999251353263372,0.9097326454347711,0.909422033215321,6,1.1800002539530396e-05,0.09310870012268424,0.9383683002961334,1.0314770004188176,1.0324524999887217,1.0318293003947474,3.127894334320445e-05,0.00030819998937658966,1.1500000255182385e-05,6.500000017695129e-05,1.0325297999952454,3.229998401366174e-05,1.5032623142950698,0.058406585713899346,0.055482164977170755
1.0,0.017135768874768753,1,datasets_sb01.npz,1.3602935930139628,1.361305670865549,1.3602935930139626,2,0.8174556564917353,unconstrained_1tok_mc,0.0767058062598162,0.07814063989569135,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08483214863170536,0.9996597415750451,0.9999292479312071,0.9151389766901632,0.9148275929433397,7,1.0800024028867483e-05,0.08711130006122403,0.9394059002224822,1.0265172002837062,1.027459100005217,1.0268666002957616,3.131353000741607e-05,0.0002954999799840152,1.1299998732283711e-05,6.0600024880841374e-05,1.0275318000058178,4.3100008042529225e-05,1.9031315295361901,0.05955290161617268,0.06098773525204783
1.0,0.0135397349864394,1,datasets_sb01.npz,0.9669418028671184,0.9689669857050374,0.9669418028671147,2,0.47715821083145527,unconstrained_1tok_mc,0.06244480607750856,0.07188818588204841,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.10560149217272666,0.9997006298266957,0.99993225964014,0.8943668844231565,0.8940991376539691,8,1.0299991117790341e-05,0.11076209979364648,0.9377926000161096,1.0485546998097561,1.049524999980349,1.048868699814193,3.125975333387032e-05,0.0002708999963942915,1.2200005585327744e-05,5.800000508315861e-05,1.0495960999978706,3.2800016924738884e-05,1.4567253949027816,0.04889153135608272,0.058334911160622574
1.0,0.021111779779168508,1,datasets_sb01.npz,1.2237172468168316,1.224978373839051,1.2237172468168316,2,0.6680045357947806,unconstrained_1tok_mc,0.08038749926891856,0.08206591999033386,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.08453525162984511,0.9996186331152637,0.9999300488433042,0.9154324971250335,0.9150833814854186,9,1.3999990187585354e-05,0.08671490006963722,0.9386777995096054,1.0253926995792426,1.0263586000073701,1.0257838995894417,3.1289259983653514e-05,0.00035020001814700663,7.700000423938036e-06,6.359998951666057e-05,1.026430400001118,2.7000001864507794e-05,1.7794299578388826,0.059254607709970875,0.06093302843138619
1.0,0.020657832420457056,1,datasets_sb01.npz,1.2702364747058434,1.2728903188996494,1.270236474705842,2,0.7287141674988887,unconstrained_1tok_mc,0.07633444637722392,0.06991782811683861,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.09440824648698744,0.9996305264621667,0.9999216490138453,0.9055568592716836,0.9052222799751792,10,1.0399991879239678e-05,0.09921879981993698,0.9513477003492881,1.050566500169225,1.0515957000025082,1.050954800157342,3.171159001164294e-05,0.00034779999987222254,8.300004992634058e-06,7.350000669248402e-05,1.051678100018762,3.0099996365606785e-05,1.8117587819127983,0.0556559561243464,0.04923933786396109
1.0,0.017425191914579367,1,datasets_sb01.npz,1.105005106187882,1.1043615782460456,1.1050051061878798,2,0.5814719552979483,unconstrained_1tok_mc,0.07134708456912281,0.07084697573449537,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.1290524297176255,0.9997173841160941,0.9999437128472182,0.8709110877053239,0.8706649543984686,11,9.69998654909432e-06,0.14731059968471527,0.9938455001392867,1.141156099824002,1.1422922000056133,1.1414786998357158,3.312818333797622e-05,0.00027760001830756664,8.899980457499623e-06,5.490001058205962e-05,1.14235650000046,3.530000685714185e-05,1.6285382570778157,0.05390446746262887,0.05340435862800143
1.0,0.01588273327780559,1,datasets_sb01.npz,1.119473375378198,1.1202681198931275,1.1194733753781998,2,0.6247977742247077,unconstrained_1tok_mc,0.06369844605804018,0.0620916241349808,1000,30000,0.5,results\unconstrained_1tok_mc_beta1_profile_1.csv,0.13944379213178995,0.9996600857615118,0.9999241802731713,0.8605087928207459,0.8602162936297219,12,1.2199976481497288e-05,0.1543703993957024,0.9522972000704613,1.1066675994661637,1.1078067000198644,1.1070438994502183,3.174324000234871e-05,0.0003324999997857958,8.69997893460095e-06,7.479998748749495e-05,1.1078906999900937,3.160000778734684e-05,1.6141489765316883,0.04779983004695677,0.04619300812389741
