sim,sampler,mcmc_iter,tau_current,running_tau,accepted_iteration_rate,accepted_row_update_rate
1,mcmc,10,1.107625770877469,0.9275501557177526,1.0,0.7766666666666666
1,mcmc,20,0.9898498122763626,0.9330646589729292,1.0,0.795
1,monte_carlo,10,0.798209168707211,0.7914409449371017,,
1,monte_carlo,20,0.7550642375538952,0.8299437676041641,,
2,mcmc,10,1.1538133670454815,1.105595198867694,1.0,0.71
2,mcmc,20,1.0245902866099557,1.1138773641766697,1.0,0.745
2,monte_carlo,10,0.9403083180565415,1.0148602922952885,,
2,monte_carlo,20,1.0414404129572583,1.0561219384594809,,
3,mcmc,10,1.443840584389703,1.330448813739768,1.0,0.74
3,mcmc,20,1.5360719820740418,1.3919810044414818,1.0,0.8033333333333333
3,monte_carlo,10,1.464759202356443,1.3871224983179107,,
3,monte_carlo,20,1.355404529179084,1.4212455490799287,,
